ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default payment next month
7f9a5e41-f41b,50000,1,1,2,1,-1,-1,-2,-2,-2,1
fce63a25-7f41,280000,1,1,2,-1,-1,2,-1,0,-1,0
713f9577-6c3b,360000,1,1,2,0,0,0,0,0,0,0
2f10b695-b734,70000,2,1,2,0,0,0,0,0,0,0
e59c0e10-21ff,10000,1,2,2,0,0,0,0,0,0,0
9a066731-10e0,140000,2,2,1,0,0,0,0,0,0,0
6a6245d9-e13b,40000,2,1,2,0,0,0,2,0,0,0
cbea9a82-8ea3,210000,1,1,2,-2,-2,-2,-2,-2,-2,1
c479dcdd-9af9,20000,2,1,2,0,0,2,-1,0,0,1
99a3df27-dfb1,150000,2,4,2,0,0,-1,0,0,-2,1
f4dbda9d-85da,380000,1,2,2,-1,-1,-1,-1,-1,-1,0
9ea8efa1-de6c,20000,1,1,2,0,0,0,0,0,0,0
5e9d04ca-53f0,70000,1,3,2,1,2,2,2,2,0,1
891781cb-8211,100000,2,3,3,0,0,0,0,0,0,0
8dd31d95-45cf,310000,2,2,1,-2,-2,-2,-2,-2,-2,0
811730c0-898a,180000,2,1,2,1,2,0,0,0,0,0
9cb89bed-4ea6,500000,2,1,1,-2,-2,-2,-2,-2,-2,0
c8a8c49e-4904,180000,2,3,1,0,0,0,-1,-1,-1,0
efdad8d4-2bb0,180000,2,2,1,0,0,0,0,0,0,0
ea16e4b0-735a,200000,2,1,2,-1,3,2,2,2,2,0
1718d9a4-e469,400000,2,2,1,0,0,0,0,0,0,0
f7f6b7dd-748d,70000,1,2,1,0,0,0,0,0,-1,0
b4abe25a-789d,50000,1,1,2,2,2,2,2,2,2,1
8203f5df-4045,50000,2,2,1,0,0,0,-2,-2,-2,1
eb26b1bf-40b5,130000,2,2,1,-1,-1,-2,-2,-1,-1,0
5c5b3bae-a2b3,200000,1,1,1,-2,-2,-2,-1,2,2,1
bc2e6282-a95f,10000,1,2,1,2,2,2,0,0,0,1
a9834f44-638e,210000,2,1,2,2,-1,-1,-1,-1,-1,0
4d574948-b602,130000,2,3,2,1,-2,-2,-1,2,-1,0
09437a03-54d1,20000,1,4,2,2,0,0,0,0,0,0
a8c156c3-caac,80000,1,1,2,-1,-1,-1,-1,-1,-1,0
7394ed84-acd4,290000,2,1,2,1,-2,-1,-1,-1,-1,0
62275e8c-1f98,340000,1,1,2,-1,-1,-1,-1,-1,-1,0
718c7270-3020,20000,1,2,2,0,0,2,0,0,0,0
e0a71eee-a1db,50000,1,3,2,-1,0,0,0,0,0,0
e6254d67-7a65,300000,2,1,1,-1,-1,-1,-1,-1,-1,0
497eeacc-2228,30000,2,2,2,0,0,0,0,0,0,1
4eb52759-6b54,240000,2,2,2,1,-2,-2,-2,-2,-2,1
6aefd739-b4d5,470000,2,3,3,0,0,0,0,0,0,0
34a96f67-b400,360000,2,1,2,0,0,0,0,0,-1,0
3ec41e19-9c3c,60000,1,3,2,0,0,0,0,0,0,1
2892296c-bc61,400000,2,2,1,0,0,2,0,0,0,0
e59743be-95db,50000,2,3,2,0,0,0,0,0,0,0
a7bd2e21-e77c,160000,1,2,2,0,0,0,0,0,0,0
6307904d-63e2,360000,2,1,1,-1,-1,2,0,-1,-1,1
315d642e-3ec7,160000,2,2,2,0,0,0,0,0,-1,0
70dfd146-b32c,130000,2,1,1,0,0,0,-1,-1,-1,0
f22d339c-81b3,20000,1,3,2,2,2,0,0,0,2,0
174c412f-2d17,200000,1,1,1,2,2,2,2,2,2,1
ccc0a4cb-3928,100000,2,1,2,-2,-2,-2,-2,-2,-2,0
613a4114-3089,60000,2,2,2,0,0,0,0,0,0,0
cb48d4b3-db98,90000,1,2,2,0,0,0,0,0,0,0
4275d0eb-2d0b,360000,1,1,1,-1,-1,-1,-1,-1,0,0
ac76e49f-a163,150000,1,1,2,0,0,0,0,0,0,0
d7eba474-eafd,50000,2,3,1,0,0,0,0,0,0,0
3dd4f92f-6e05,20000,1,2,1,0,0,0,0,0,-1,1
dc360f9e-dd2c,140000,1,1,2,-2,-2,-2,-2,-2,-2,0
3f2dc06a-7fb6,380000,2,1,2,-2,-2,-1,0,0,0,0
b821f098-ea69,480000,1,1,1,0,0,0,2,2,0,0
8242c110-c8da,50000,2,3,2,0,0,0,0,0,0,1
6500bc5e-01fd,60000,2,2,2,2,2,2,2,2,0,0
f3b0b3bf-8076,70000,2,2,2,-1,-1,-2,-2,-2,-1,0
a95af99a-31f3,80000,2,2,1,-1,-1,-1,-1,-1,-1,0
27055658-8d2f,350000,1,1,2,-1,-1,-1,-1,-1,-1,0
6692cd3b-2580,130000,1,2,2,0,0,0,-1,-1,-1,0
86a4b52d-da0d,360000,1,2,1,1,-2,-2,-2,-2,-2,0
f5361172-7103,330000,2,1,1,0,0,2,0,0,0,0
48e1013b-1df2,50000,1,3,1,0,0,2,0,0,0,0
cc332450-5380,280000,1,2,1,2,2,2,2,2,3,0
fb8da3a3-84c7,100000,2,1,2,0,0,0,0,0,0,0
992f2d6b-6cb8,50000,1,2,2,0,0,0,0,0,0,0
e6eceb2c-ea91,30000,1,1,2,-1,2,0,0,3,2,1
e2db39e0-4a61,240000,1,1,2,-1,-1,-1,-1,-1,-1,0
16784d3a-d5e9,80000,1,2,2,2,0,0,0,0,0,1
cfd9c65a-6c24,400000,1,2,1,-1,-1,-1,-1,-1,-1,0
5f079b62-74dd,240000,2,2,2,0,0,0,0,-1,-1,0
46c75da5-bfd0,50000,1,3,2,2,2,2,3,2,2,1
18c3c9c8-3661,450000,1,1,1,1,-2,-2,-2,-2,-2,1
a71d10c1-3b56,110000,2,1,1,1,-2,-2,-2,-2,-2,0
d01c4aad-187e,310000,2,2,1,2,0,0,0,0,0,1
349f4e46-eb87,20000,1,1,2,0,0,0,0,0,0,0
af80aef7-31d4,20000,1,2,2,1,-2,-2,-2,-2,-2,0
447e9a72-c8ab,200000,1,3,2,0,0,0,0,0,0,0
60e3669d-112c,50000,1,2,1,0,0,0,0,0,0,1
5ca4a995-407b,60000,1,3,1,3,2,2,0,0,0,0
ec90d5dc-8b16,30000,2,1,2,1,-2,-2,-2,-1,-1,0
d73191d0-fc28,240000,1,1,2,1,-1,-1,0,0,-1,0
bc9d6889-d28d,420000,1,2,1,0,0,0,0,0,0,0
b720e70a-7b5f,30000,2,2,2,0,0,0,0,0,0,0
c350a9d7-6ea8,240000,1,2,1,0,0,0,2,2,2,0
b3e4a47c-86c7,150000,1,1,2,0,0,0,0,0,0,0
1277b303-f6fb,210000,2,2,1,0,0,0,0,0,0,0
669e1794-f410,50000,2,3,1,-1,-1,-1,-1,-2,-2,1
d35d5937-c3c5,50000,1,1,2,0,0,0,0,0,0,0
0b1e5dab-9ecd,240000,1,1,2,1,-2,-2,-2,-2,-2,1
26bde6da-f148,180000,1,2,2,-1,-1,-1,-1,-1,-1,0
1626f524-1b1d,50000,1,2,2,1,2,2,2,0,0,0
41e537f4-7cf3,170000,1,2,2,-2,-2,-2,-2,-2,-2,0
341a660a-1f66,20000,1,1,2,-1,-1,-1,-1,0,-1,0
cdc64aef-e38d,50000,1,1,2,0,0,0,0,0,3,0
03dce68c-c243,170000,2,2,2,0,0,0,0,0,0,1
a8b785a8-6af8,200000,1,1,2,1,2,0,0,0,0,0
2fd9a366-f86b,80000,2,2,1,1,2,3,2,0,0,0
8c8841c0-a14e,260000,2,1,1,1,-2,-1,-1,-1,-1,0
f196720b-56b9,80000,1,1,2,0,0,0,0,0,0,0
abee8f73-08fc,350000,1,1,2,1,-1,-1,-1,-1,-2,0
a137e098-262e,280000,2,2,1,0,0,0,0,0,0,0
0f8507a6-213d,30000,2,3,2,0,0,0,0,0,0,0
dd92396f-b146,140000,1,1,1,0,0,0,0,0,0,0
de9b4fc4-8721,200000,2,1,2,0,0,0,0,0,0,0
9c0c1a78-0018,210000,1,3,1,2,3,4,4,5,6,1
7585a4fb-9d55,30000,1,1,2,2,2,2,2,2,0,0
1059d3ce-dc64,50000,1,2,2,2,-1,-1,-1,-1,2,0
e36600fc-725a,290000,1,3,1,-1,-1,-1,-1,0,-1,0
972de42d-ed3f,250000,2,1,1,0,0,2,0,0,0,0
d3018a8f-f7fe,60000,2,2,1,0,0,0,0,0,0,0
80f13368-5e45,370000,1,1,2,-2,-2,-2,-2,-2,-2,0
e5b47039-12cb,100000,1,2,1,-1,2,2,0,0,0,0
882511d0-27f6,90000,2,2,1,0,0,0,0,0,2,0
29a83d56-ca4f,50000,2,2,2,0,0,0,0,0,0,0
dc8aafd2-16d0,270000,1,2,2,0,0,0,0,0,0,0
a81e34a1-5ff1,300000,2,1,2,-1,-1,-1,-1,-1,-1,0
1f3aa1e2-84e0,50000,2,2,2,-1,0,0,0,0,0,0
b0fca4d9-15a6,50000,2,1,2,1,-2,-2,-2,-2,-2,1
50ada3c9-693a,360000,1,1,2,1,-2,-1,-1,-2,-2,0
2139fd85-17f0,80000,1,1,2,-2,-1,0,0,0,0,0
d2d2e91f-9b6b,50000,1,2,2,1,2,0,0,0,2,0
de8b84ed-f19c,20000,2,2,2,0,0,0,0,0,0,0
eda23697-2386,80000,2,2,1,0,0,2,0,0,0,0
07e94ecc-fb74,240000,1,1,2,-1,-1,2,0,0,-1,0
285e284c-ee15,80000,2,3,2,0,-1,0,0,0,0,0
4707cd9c-24ff,500000,2,1,1,0,0,0,0,0,0,0
1880841a-1ee8,60000,2,2,1,0,0,0,0,0,0,1
92497b0a-5d97,20000,1,2,2,0,0,0,0,0,-1,0
20cbc469-269d,100000,2,2,1,1,2,0,0,2,0,1
01b2da58-38f7,360000,2,1,2,1,-1,-1,-1,-1,-1,0
e8ef92e9-b9ae,200000,2,3,2,2,2,2,2,2,2,1
0939a1aa-e0ce,130000,2,2,1,1,-1,0,0,0,0,0
d580d768-3532,20000,2,2,2,1,5,4,4,3,2,0
65baabc6-2a05,310000,1,1,2,0,0,0,0,0,0,0
f899c00d-f642,60000,2,1,2,2,0,0,0,2,0,1
1ce42bbb-d87c,180000,2,1,2,-1,-1,-1,-2,-1,0,0
f9568c90-bee5,180000,2,1,2,-1,-1,2,0,0,-2,0
2731e9fb-3fe4,50000,1,2,1,0,0,0,0,-1,-1,0
e5fef120-2d4d,50000,2,1,2,1,2,2,2,2,2,1
42009c72-651f,150000,2,2,1,-2,-2,-2,-2,-2,-2,0
14de8ae7-bd30,20000,2,1,2,0,0,0,0,-1,0,0
37a1b00a-e967,500000,2,1,1,-2,-2,-2,-1,-1,-1,0
bea3c678-8025,30000,2,3,2,1,2,2,0,0,0,1
92f7780a-2a3f,140000,1,1,2,0,0,2,0,0,2,0
eca271b6-5cce,140000,2,1,2,-1,0,-1,-1,-1,-1,0
0881c5e9-527e,120000,1,2,2,0,0,0,0,0,0,0
e4afd4a4-1897,360000,2,2,1,0,0,0,0,0,0,0
6f0b3a41-6ce0,20000,1,3,1,-1,-1,0,0,0,0,0
610932d2-71fc,100000,1,1,1,-1,-1,-1,-1,-1,-1,0
2dc2fb11-2387,210000,2,2,1,-1,-1,-1,-1,-1,-1,1
36ad457c-c55a,80000,2,2,2,0,0,0,0,0,0,1
8b237bf4-6486,330000,2,1,1,-1,-1,-1,-1,-2,-2,0
22991020-62ff,220000,1,1,2,0,0,0,-1,-1,-1,0
1b6604b3-dd86,40000,2,3,1,0,0,0,0,0,0,0
10af1721-bc0a,30000,1,2,2,0,0,0,2,0,0,0
765654a4-d191,470000,1,2,2,2,2,2,2,0,0,0
78c59499-1a2b,30000,1,3,1,-1,-1,-1,-1,-1,2,0
ead0bb24-cafc,240000,2,2,1,1,-2,-2,-2,-2,-2,1
2f1e65e5-3ad8,80000,1,2,2,2,0,0,0,0,0,0
67cddb39-4eae,310000,2,1,2,-1,-1,-1,-1,-2,-2,0
4fef5985-eb4c,360000,2,1,1,2,2,2,0,0,0,1
0da0cb6d-c0f0,330000,2,3,2,0,0,0,0,0,0,0
3ddb4310-70d8,300000,2,2,2,0,0,0,0,0,0,0
914040c4-fa19,320000,2,2,2,0,0,0,0,0,0,0
f078ba46-deab,50000,2,3,2,1,3,2,0,0,0,1
0cb45ffe-4019,170000,2,1,2,0,0,0,0,0,0,0
bb9024fe-ad22,350000,1,3,1,-1,-1,-1,-1,-1,-2,0
7a175085-d8ec,50000,1,2,2,2,0,0,0,0,0,1
0c77bc8b-71ce,20000,2,3,2,1,2,0,0,0,0,0
9bcdc55c-78e4,50000,2,1,2,0,0,0,0,0,0,0
3f05a33c-99e2,20000,1,2,2,1,2,0,0,2,0,1
b61a40d0-7ef8,50000,1,2,1,0,0,-2,-1,-1,0,0
1179d5cc-17cb,190000,1,2,2,2,0,0,0,2,2,1
02f687b0-c9a3,60000,2,2,1,0,0,0,0,0,0,0
efdc7585-ce66,80000,1,1,2,-1,-1,-1,-1,-1,-1,0
1f43f67a-14fd,150000,2,2,2,0,0,0,0,0,0,0
e46f65e3-771c,210000,2,1,2,-2,-2,-2,-2,-1,-1,0
5cb7c5c0-2ca9,240000,2,3,1,0,0,0,0,0,0,1
9d64e12b-f317,60000,2,1,2,1,2,2,-2,-2,-1,0
c8c57c28-e31b,50000,2,2,2,0,0,0,0,0,0,0
504d9f3b-c8ae,180000,2,1,2,-1,-1,2,2,-1,-1,0
afb25d95-ff43,30000,2,1,2,-1,-1,2,2,2,2,0
6a97b0d4-65cf,250000,2,2,1,0,-1,-1,-1,-1,-1,0
b819b558-16e6,100000,2,2,2,0,0,0,0,0,0,0
a2769e72-ccdd,330000,1,1,2,0,0,0,0,2,0,0
c0b65d55-1954,50000,1,3,1,0,0,0,0,0,0,0
85ab7350-4f66,50000,2,2,2,1,2,2,0,0,0,0
59ff26c3-9a98,30000,1,2,2,0,0,0,0,0,0,0
78219021-0a06,140000,2,2,2,0,0,0,0,0,0,1
c3aa035c-de20,160000,2,1,2,0,0,0,0,-1,0,0
ecf47bc9-42ad,50000,1,2,1,0,0,0,0,0,0,0
4a653410-8828,140000,2,2,1,0,-1,-1,-1,-1,-1,0
97062574-0f03,160000,2,2,1,-1,-1,-1,-1,0,-1,0
2b1193d7-2a71,100000,2,3,1,0,0,-2,-2,-2,-2,0
ba0d54d5-58d7,220000,1,1,1,2,0,0,0,0,0,1
b43f2ff8-e845,510000,2,1,2,0,0,0,0,0,0,0
04fddd86-3dc0,50000,1,2,2,0,0,0,0,0,0,0
ae851289-de2b,160000,2,1,1,-1,-1,-1,-1,2,-1,0
790c5d1b-73b8,230000,2,1,2,-2,-2,-2,-2,-2,-2,0
affa8400-ca2e,80000,2,1,2,-1,-1,-1,-1,-1,-1,0
e6c7ed66-c689,150000,2,2,1,-1,-1,-2,-1,-1,-1,0
c43dc68c-50e7,10000,1,3,2,0,0,0,0,0,2,0
5c9f6ddc-1664,130000,2,3,2,0,0,0,0,0,0,1
1dc26bdd-ca09,40000,2,1,2,0,0,0,0,0,0,0
4358aa85-975c,50000,1,2,2,3,2,2,0,0,-1,1
33ef2c2a-2664,100000,1,3,2,0,0,0,0,0,0,0
6fff1ca4-d8f6,260000,2,1,2,1,-2,-2,-2,-2,-2,1
40101cae-f3fa,200000,2,2,2,0,0,0,0,0,0,0
615770e1-68d6,360000,2,2,2,-2,-2,-2,-2,-2,-2,1
b4babada-4d75,70000,2,2,2,0,0,0,0,0,0,0
bb7d0384-def2,460000,1,1,1,2,-1,-1,-1,-1,-1,1
4c349686-a070,50000,2,1,2,-1,-1,-1,-1,-1,-1,0
fc6c7e47-8fdb,50000,1,3,1,0,0,0,0,0,0,0
be43e5f2-808e,250000,2,2,1,0,0,0,0,0,0,0
162f0380-e344,30000,2,1,2,0,0,-1,0,0,-2,0
de75fd0c-f8cd,270000,1,2,1,0,0,0,0,-1,-1,0
19f45d14-13b4,180000,2,3,2,0,0,0,0,0,0,0
e07cb03c-6985,100000,2,1,2,0,0,0,0,0,0,0
2b6ddd4c-1fa6,210000,2,1,1,-1,-1,-1,-1,-1,-1,0
5460ecd0-27ff,210000,1,1,2,2,0,0,0,0,0,0
2206891c-0cc6,440000,2,2,1,0,0,0,0,0,0,0
34d599d8-47ea,240000,2,2,1,0,0,0,0,0,0,0
5fe246c7-cf4d,280000,1,1,2,-1,-1,-1,-1,-1,-1,1
a4c18b86-b3fa,50000,2,2,2,1,-2,-2,-2,-2,-2,1
8194a5cc-c0ba,30000,1,2,1,3,2,2,2,2,2,0
1fd4977c-2548,10000,1,2,2,0,0,2,0,0,0,1
925f6c10-f80a,130000,1,1,2,1,-2,-2,-2,-2,-2,0
1fd7fb06-63b1,200000,1,1,2,0,0,0,0,0,0,0
6b29336e-1554,210000,2,2,1,0,0,0,0,0,0,0
07e47bb7-2b1b,280000,2,1,1,0,0,0,0,0,0,0
649c4a35-f14b,300000,1,1,2,1,-2,-1,0,-1,-1,1
78917bdc-3a4c,100000,1,2,2,0,0,0,0,0,0,0
3319f729-412b,440000,2,1,2,-2,-2,-2,-2,-2,-2,0
8e04aaa0-a662,50000,2,3,1,0,0,0,0,0,0,0
7644b41c-ab06,20000,2,1,2,0,0,2,0,0,0,1
ba489aea-92a4,200000,2,1,2,-1,-1,-1,0,0,0,0
88cebc03-efe6,110000,2,2,2,-2,-2,-2,-2,-2,-2,0
dde96c91-fe9a,500000,2,2,1,-1,-1,-1,-1,-1,-1,0
80d33500-3c72,300000,2,2,1,1,-1,-1,-2,-2,-2,0
c5dfced2-a6a3,30000,1,3,1,2,2,2,3,3,4,1
8a601ef0-694c,60000,2,1,2,-1,-1,-1,-1,-1,-1,0
0300bc4e-b578,400000,2,2,1,-1,0,-1,-1,0,-1,0
41dfb90c-ef08,180000,2,2,1,0,0,0,0,0,0,0
cde9dc8a-4f48,20000,1,1,2,0,0,0,2,0,0,0
06367728-fe2a,60000,1,2,2,0,0,0,0,0,0,1
3b613836-2778,110000,2,2,2,0,0,0,0,0,0,0
9c3c4c4e-4104,260000,2,3,1,1,-1,-1,-2,-2,-1,0
eb4111d5-6a4c,50000,2,3,1,3,2,2,0,0,0,0
e5d0be38-9506,180000,1,2,2,1,-2,-2,-2,-2,-2,0
e7125802-3157,110000,1,2,2,1,2,2,0,0,0,1
32a67d94-f87d,340000,2,1,2,0,0,0,0,0,0,0
438cac5f-67c8,50000,1,2,2,-1,0,0,0,0,0,0
73ed1381-3a3f,230000,2,2,1,0,0,0,-2,-1,-1,1
77736540-cf89,360000,2,2,2,0,0,0,0,0,0,0
27e6cee4-3b3e,210000,1,2,2,1,-2,-1,0,0,0,0
ae44e74a-027b,220000,2,2,1,-1,2,2,-1,2,-1,1
28a68cd7-066d,60000,2,2,1,2,2,2,2,2,0,1
ba418daf-6e9f,340000,1,2,1,-2,-1,-1,-2,-2,-2,0
3cc19b5c-ba35,150000,1,1,1,2,2,2,2,2,2,0
e6164636-5e74,200000,2,2,1,1,-1,2,-1,-1,-1,1
1e3d17a2-e764,130000,2,2,2,0,0,2,0,0,0,1
45d2e604-fa73,60000,2,1,2,1,2,0,0,0,0,0
372b7f44-aba6,400000,2,2,1,1,-2,-2,-2,-1,-1,0
4c10a09c-2dd1,20000,1,1,2,0,0,0,0,0,0,0
3d633d64-311d,190000,2,1,2,0,0,0,0,0,0,0
62889852-916b,140000,2,2,2,-2,-2,-2,-2,-2,-2,0
a1a36a1e-7554,120000,2,1,2,-1,-1,0,-1,-1,-1,0
4f95b36b-ab10,240000,2,2,2,-2,-2,-2,-2,-2,-2,0
e4a2eb79-c688,50000,1,2,2,0,0,0,0,-1,0,0
6c523203-1a17,200000,2,1,2,-1,2,-1,-1,-1,2,0
c60bc987-a368,180000,1,1,1,0,0,-1,0,0,-1,0
25874441-977b,180000,2,1,2,0,0,0,0,0,0,0
349f736b-6bff,160000,2,1,2,-1,-1,-2,-1,0,0,0
a340074e-8da6,100000,2,2,2,-1,-1,-1,0,0,0,0
886283e8-a089,50000,2,2,2,0,0,0,0,0,0,1
9c951a80-fe89,140000,2,2,2,0,0,0,0,0,0,0
8441dfc9-acc2,30000,2,2,2,0,0,0,0,0,0,1
39d4c2fc-2f1f,90000,1,1,2,0,0,-1,0,0,-1,0
31363bca-c9ce,200000,1,1,1,1,-2,-1,-1,-2,-1,0
d7580852-ee1d,380000,1,1,2,1,-2,-2,-2,-2,-2,1
f2269351-fb8d,80000,2,2,2,0,0,0,0,0,0,0
f0fecb2c-ca90,50000,1,3,1,2,2,2,0,0,2,0
1c24ba39-32f2,180000,1,2,1,-1,0,0,0,0,0,1
d98dc191-4b9f,240000,2,2,2,0,0,0,0,0,0,0
882873b2-b7e4,380000,1,2,2,0,0,0,0,0,0,0
ad31e63b-604f,110000,2,4,2,0,0,0,0,0,0,0
8e5ec044-5353,260000,1,1,1,-1,-1,-1,-1,-1,-1,0
ad9a75fb-42e7,320000,2,2,2,0,0,0,0,0,0,0
dea1c229-1ab7,50000,1,2,2,4,3,2,0,0,0,0
c99ae881-0231,110000,1,1,1,1,-2,-1,0,-1,-1,1
c2a9b4d1-8aac,230000,2,1,2,-2,-2,-2,-2,-2,-2,0
c7d0f918-a0f9,330000,2,2,1,1,-1,-1,-2,-1,-1,0
b47c0ad6-5dfc,50000,2,2,1,0,0,0,0,0,0,0
cd5acb3f-fe62,10000,1,2,2,-1,2,2,2,0,0,0
0f81bda0-1510,300000,1,1,1,1,-2,-2,-2,-2,-2,0
ff4c0133-f4b7,20000,2,2,1,3,2,0,0,0,0,1
af9a3d12-1784,180000,1,2,1,2,2,-2,-2,-2,-2,1
c9508f75-d408,160000,1,1,2,-1,-1,-1,-1,-1,-1,0
f95e58f2-ed5f,90000,2,1,2,0,0,0,2,2,2,0
70dc3b6d-e4ae,30000,1,3,3,0,0,0,0,0,0,0
c4db66fb-3707,30000,1,3,1,0,0,0,0,0,0,0
12d3f289-f899,30000,1,2,1,1,2,0,0,0,2,0
c13ea935-bce3,140000,2,1,2,-1,0,0,-1,-1,-1,0
c467fea5-6417,210000,1,1,2,0,0,0,0,0,0,0
93790a5e-3e4a,50000,1,2,2,0,0,0,0,0,0,1
839bd173-4955,50000,2,2,1,2,2,2,0,0,0,1
a115e974-acc4,170000,2,2,2,-1,0,0,2,0,0,1
3d1a18d9-ace9,80000,1,2,2,0,0,0,0,0,-2,0
38171c9d-c40b,410000,2,4,1,0,0,0,0,0,0,0
2a5718bc-0130,80000,2,1,2,1,-1,-1,-2,-2,-2,0
9ee89588-fd3b,80000,1,3,1,-1,0,0,2,2,2,1
bf1abfae-a01b,150000,1,2,1,0,0,0,0,0,0,0
5f6eb330-1996,260000,1,1,1,-1,-1,-1,0,0,-1,1
75a81331-043f,350000,1,1,1,1,-2,-2,-2,-2,-2,0
37505b32-2928,280000,2,2,1,1,-1,0,0,0,0,1
097e6363-e763,140000,2,2,2,0,0,0,0,0,0,0
83fe63be-807f,360000,1,1,1,-1,-1,-1,-2,-2,-2,0
daf6ba5d-f042,140000,2,1,2,0,0,0,0,0,0,0
9ce5b8cb-b006,120000,2,2,2,2,2,2,2,2,2,0
8b9c29a1-a9bc,240000,1,1,2,0,0,0,0,0,-1,0
e9f18396-bd36,60000,2,3,3,0,0,0,0,0,0,0
0811e228-2242,150000,1,1,2,-1,-1,-1,-1,-1,2,1
503622b7-a519,30000,1,2,1,0,0,0,0,0,0,0
3a007db5-f92e,160000,2,1,2,2,2,2,2,2,2,1
2edb6fcf-8d33,200000,1,1,1,-2,-2,-2,-2,-2,-2,0
66c5a207-5b24,120000,2,2,1,0,0,0,-2,-2,-2,0
0758acc9-5a50,320000,2,1,2,0,0,0,0,0,0,0
cd84f845-31b0,60000,2,1,2,1,2,2,2,2,2,1
a138c9c6-cc79,200000,2,1,1,-1,-1,-2,-1,-1,-2,0
b84fe09b-8782,230000,2,1,1,1,-2,-1,-1,-1,-1,0
1f9eed8a-c837,230000,2,2,2,1,2,0,0,0,0,1
4ed4f75c-248c,480000,2,3,1,-2,-2,-2,-2,-2,-2,0
6722718c-6976,50000,2,3,1,-1,-1,-1,-2,-2,-2,0
be1c6bdc-f678,200000,2,1,2,-2,-2,-2,-2,-2,-2,0
024f8759-57b7,50000,2,1,2,0,0,0,0,0,2,0
d5237e0f-d51d,50000,1,2,1,0,0,0,0,0,0,0
ab108e3d-d79c,260000,2,1,2,1,-2,-2,-2,-2,-2,1
43920f3c-85e0,30000,1,1,2,2,0,0,0,0,2,0
b7cd96aa-e419,440000,2,1,2,0,0,0,0,0,0,0
cb1966da-ac72,230000,2,2,2,-1,-1,-1,-1,-1,-1,0
29178a8a-c19d,490000,2,2,1,0,0,0,0,0,0,0
2980a98a-058a,80000,2,2,1,-1,-1,-2,-2,-2,-2,0
b0b2b34b-b71b,20000,2,3,2,2,2,2,2,0,0,1
e1a603bc-05cc,170000,2,1,2,-1,-1,-1,-1,0,-1,1
9dab6960-14e3,210000,2,2,2,0,0,0,0,0,0,0
10923a67-6676,90000,2,2,2,0,0,0,0,0,0,0
d5e7a06d-e68a,390000,2,1,2,0,0,0,0,0,0,1
62965515-7020,110000,2,1,2,0,0,0,0,0,0,0
4f8d5131-c1a5,580000,2,1,1,0,0,0,0,0,0,0
